id,name,ingredient,image,type
427020,清蒸西兰花,西兰花、油、蚝油、生抽、糖、盐、水淀粉。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154209409838310667631.jpg?x-oss-process=style/f320x240,new
426996,中种北海道土司,高筋面粉、牛奶、蛋白、酵母、盐、糖、淡奶油、黄油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542089341651266491.jpg?x-oss-process=style/f320x240,new
426992,红薯马芬,香蕉、红薯、牛奶、燕麦、鸡蛋、蓝莓。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154208950764870011133813.jpg?x-oss-process=style/f320x240,new
427010,番茄鲜肉汤饺,番茄、猪肉、饺子皮、细盐、生抽、鸡精、葱、紫菜。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542091572838842280145.jpg?x-oss-process=style/f320x240,new
427009,孜然羊肉,羊腿肉、洋葱、香菜、孜然、孜然粉、葱、姜、盐、辣椒粉、芝麻、酱油、料酒、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420914045058338.jpg?x-oss-process=style/f320x240,new
427006,果酱排包,金龙鱼面包用小麦粉、耐高糖酵母、水、细砂糖、奶粉、盐、黄油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420911106224822146048.jpg?x-oss-process=style/f320x240,new
426249,松仁玉米,玉米粒、松仁、胡萝卜、黄瓜、水淀粉、大葱、盐、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420899991607368.jpg?x-oss-process=style/f320x240,new
427002,紫苏梅子酱蒸排骨,排骨、梅子酱、紫苏、蚝油、生粉、盐、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154208980900581110452639.jpg?x-oss-process=style/f320x240,new
426670,轻乳酪蛋糕,奶油奶酪、黄油、淡奶油、牛奶、蛋黄、牛奶、玉米淀粉、蛋清、细砂糖、镜面果胶。,https://i8.meishichina.com/attachment/recipe/2018/11/11/2018111115419046975725467952871.jpg?x-oss-process=style/f320x240,new
426978,南瓜椰蓉小方,南瓜泥、淡奶油、牛奶、砂糖、玉米淀粉、椰蓉。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154208382515291611133813.jpg?x-oss-process=style/f320x240,new
426984,三十年代熏鱼,鲜鱼、芹菜、胡萝卜、香菜、蒜、酱油、白糖、冰糖、生抽、老抽、镇江香醋。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420854283647156968441.jpg?x-oss-process=style/f320x240,new
426987,鸡肉糯米饭南瓜盅,贝贝南瓜、鸡腿肉、腊肠、青豆、玉米粒、干香菇、生抽、蚝油、鸡粉、糖。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420868051272617482619.jpg?x-oss-process=style/f320x240,new
426988,香肠面包,高筋面粉、鸡蛋、奶粉、水、黄油、火腿肠、酵母、盐、细砂糖、生菜、沙拉酱、番茄酱。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420868011016188632329.jpg?x-oss-process=style/f320x240,new
426986,黑米餐包汉堡包,新良黑米面包粉、浓稠豆浆、白糖、干酵母、黄油、凉水、蛋液。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420866242132477513584.jpg?x-oss-process=style/f320x240,new
426981,烤箱版自制老酸奶,全脂牛奶、经典老酸奶菌粉、白糖。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542085252443620319.jpg?x-oss-process=style/f320x240,new
426962,屁屁包,吐司粉、奶粉、盐、细砂糖、鲜酵母、全蛋液、冰豆奶、无盐黄油、黄油、粗砂糖。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154207693529511910929656.jpg?x-oss-process=style/f320x240,new
426800,卤鸡爪,鸡爪、卤粉、植物油、盐、干辣椒、桂皮、八角、生抽、老抽、冰糖、葱、姜、香叶、花椒。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420019225327610709.jpg?x-oss-process=style/f320x240,new
426975,一卤鲜咸鱼蒸豆腐,一卤鲜咸鱼、豆腐、剁椒、茼蒿叶。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420833134441806550.jpg?x-oss-process=style/f320x240,new
426893,黑椒肉丝米线,米线、牛肉、油、盐、青椒、鸡蛋、五香粉、黑胡椒粉、葱、料酒、生抽、蚝油、水淀粉。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420275075923371499680.jpg?x-oss-process=style/f320x240,new
426958,芝心南瓜桂花饼,南瓜、玉米淀粉、蜂蜜、糯米粉、芝士片、桂花。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154207612280676811133813.jpg?x-oss-process=style/f320x240,new
426969,麻辣鸡丝凉面,鸡胸肉、鲜面条、辣椒油、花椒油、盐、醋、糖、酱油、鸡精、花生碎、小葱、姜。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420793896699037209.jpg?x-oss-process=style/f320x240,new
426938,炸猪排,猪里脊肉、鸡蛋、面包糠、蕃茄酱。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420717531968010602.jpg?x-oss-process=style/f320x240,new
426965,荞麦灌肠,雁门清高荞麦粉、高筋面粉、盐、葱、姜、蒜、香油、辣椒油、生抽、醋、八角。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420785543829989180075.jpg?x-oss-process=style/f320x240,new
426957,黑芝麻芝士热狗包,高筋面粉、水、鸡蛋、盐、奶粉、细砂糖、酵母、无盐黄油、熟黑芝麻、芝士片、热狗肠。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420758110242626044109.jpg?x-oss-process=style/f320x240,new
426960,海苔肉松蛋卷,鸡蛋、肉松、海苔、油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542076187573476535.jpg?x-oss-process=style/f320x240,new
426950,排骨烧望潮,排骨、望潮、姜片、干辣椒、冰糖、料酒、酱油、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542074057155329404188.jpg?x-oss-process=style/f320x240,new
426948,蒜香肉末茄子,茄子、肉末、葱、韭菜、姜、蒜、油、盐、糖、生抽、蚝油、水淀粉。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154207384335410667631.jpg?x-oss-process=style/f320x240,new
421890,韭菜煎蛋,韭菜、鸡蛋、盐、油。,https://i8.meishichina.com/attachment/recipe/2018/11/12/201811121541986954877563830.jpg?x-oss-process=style/f320x240,new
426945,糖醋菜花,菜花、葱、蒜、油、盐、蚝油、醋、糖。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154207321123110667631.jpg?x-oss-process=style/f320x240,new
426940,香菇酿丸子,肉末、香菇、葱、枸杞、油、盐、五香粉、姜粉、蚝油、生抽、糖、水。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154207196246610667631.jpg?x-oss-process=style/f320x240,new
