id,name,ingredient,image,main
426280,蛋炒剪刀面,面粉、水、盐、黄豆芽、西红柿、鸡蛋、盐、生抽、色拉油、白胡椒粉。,https://i8.meishichina.com/attachment/recipe/2018/11/08/20181108154166832153667602110.jpg?x-oss-process=style/f320x240,main
426276,土豆饼,土豆、培根、玉米、洋葱、鸡蛋、面包糠、淀粉、胡椒粉、盐、芹菜。,https://i8.meishichina.com/attachment/recipe/2018/11/08/2018110815416672138836497482619.jpg?x-oss-process=style/f320x240,main
426228,烫牛肉果蔬面,金龙鱼面包用小麦粉、清水、南瓜泥、牛肉、西兰花、鸡蛋、细盐、沙茶酱、辣酱、玉米油。,https://i8.meishichina.com/attachment/recipe/2018/11/08/201811081541652509931198280145.jpg?x-oss-process=style/f320x240,main
426235,地瓜面槐花包子,面粉、地瓜面、猪肉、韭菜、槐花、油、盐、味极鲜酱油、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/08/201811081541653991423559210653.jpg?x-oss-process=style/f320x240,main
426225,白菜粉条包子,面粉、猪肉、白菜、粉条、油、盐、味极鲜酱油、鸡精、酵母粉。,https://i8.meishichina.com/attachment/recipe/2018/11/08/20181108154165221793651210653.jpg?x-oss-process=style/f320x240,main
426222,土豆饼,土豆、鸡蛋、面粉、油、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/08/201811081541651679081310210653.jpg?x-oss-process=style/f320x240,main
426221,煎饼果子,绿豆面、鸡蛋、五香粉、葱、盐、甜面酱、芝麻。,https://i8.meishichina.com/attachment/recipe/2018/11/08/201811081541651567722715377703.jpg?x-oss-process=style/f320x240,main
426213,红糖三角,面粉、红糖、酵母粉。,https://i8.meishichina.com/attachment/recipe/2018/11/08/201811081541650307853286210653.jpg?x-oss-process=style/f320x240,main
426214,炸油饼,面粉、盐、干酵母、泡打粉。,https://i8.meishichina.com/attachment/recipe/2018/11/08/201811081541650378734280377703.jpg?x-oss-process=style/f320x240,main
426210,豆沙包,面粉、豆沙、酵母粉。,https://i8.meishichina.com/attachment/recipe/2018/11/08/201811081541650005398486210653.jpg?x-oss-process=style/f320x240,main
426139,韭菜平菇鲜虾饺,猪肉糜、平菇、鲜虾、韭菜、面粉、清水、花生油、食盐、生抽、鸡精、清水。,https://i8.meishichina.com/attachment/recipe/2018/11/07/2018110715415857863721806550.jpg?x-oss-process=style/f320x240,main
426115,门钉肉饼,牛肉馅、面粉、洋葱、姜、酱油、盐、五香粉、香油。,https://i8.meishichina.com/attachment/recipe/2018/11/07/20181107154158055608942530984.JPG?x-oss-process=style/f320x240,main
426096,迷你安心油条,高筋面粉、鸡蛋、牛奶、色拉油、酵母、食盐。,https://i8.meishichina.com/attachment/recipe/2018/11/07/2018110715415753265121869595.jpg?x-oss-process=style/f320x240,main
426088,香蕉糯米饼,香蕉、糯米粉、白糖、开水、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/07/2018110715415729761186907773477.jpg?x-oss-process=style/f320x240,main
426084,粗粮芋泥饼,玉米面、面粉、荔浦芋头、糖、发酵粉、油。,https://i8.meishichina.com/attachment/recipe/2018/11/07/2018110715415701118236021478694.jpeg?x-oss-process=style/f320x240,main
426004,茄子馅水饺,全麦面粉、里脊肉、茄子、南瓜泥、葱、姜、花椒、盐、五香粉、胡椒粉、蘑菇粉、生抽、花椒油。,https://i8.meishichina.com/attachment/recipe/2018/11/06/2018110615415162301785621499680.jpg?x-oss-process=style/f320x240,main
425999,五色玫瑰花馒头,普通面粉、白砂糖、清水、酵母、南瓜泥、红曲粉、抹茶粉、可可粉。,https://i8.meishichina.com/attachment/recipe/2018/11/06/201811061541512833757618549055.JPG?x-oss-process=style/f320x240,main
425997,胡萝卜莲藕鸡蛋饼,鸡蛋、胡萝卜、莲藕、香菜、面粉、盐、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/06/201811061541511453976907549055.JPG?x-oss-process=style/f320x240,main
425976,酸菜饺子,猪前腿肉、酸菜、葱、姜、五香粉、食用油、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/06/20181106154149767844011154138.jpg?x-oss-process=style/f320x240,main
425900,发面葱油烤饼,面粉、香葱碎、盐、白糖、酵母、水、黑芝麻、油。,https://i8.meishichina.com/attachment/recipe/2018/11/06/201811061541472789950620319.jpg?x-oss-process=style/f320x240,main
425916,树木纹理馒头,面粉、牛奶、白糖、水、酵母、盐、奶油、可可粉。,https://i8.meishichina.com/attachment/recipe/2018/11/06/2018110615414765814788334261.jpg?x-oss-process=style/f320x240,main
425780,发面酥香红糖饼,面粉、酵母、植物油、清水、红糖、面粉、面粉、植物油。,https://i8.meishichina.com/attachment/recipe/2018/11/05/2018110515414024974771846401.jpg?x-oss-process=style/f320x240,main
